owner,repo,owner_type,created_at,pushed_at,license_spdx,default_branch,stars_now,forks,open_issues,watchers,topics_json,readme_len,has_releases
tonbo-io,typed-arrow,Organization,2025-08-15T06:13:12Z,2025-08-27T09:59:01Z,Apache-2.0,main,150,4,1,3,"[""arrow"", ""data"", ""rust""]",7819,True
universal-tool-calling-protocol,python-utcp,Organization,2025-06-24T12:37:35Z,2025-08-27T14:07:32Z,MPL-2.0,main,528,34,11,8,"[""ai"", ""ai-agent"", ""ai-agent-tools"", ""developer-tools"", ""llm"", ""mcp"", ""model-context-protocol"", ""python"", ""utcp""]",17116,False
mikasjp,busybee,User,2025-08-11T12:26:34Z,2025-08-26T11:00:19Z,Apache-2.0,main,101,1,1,0,[],6048,True
railsjazz,rails_charts,Organization,2022-04-19T19:20:56Z,2025-08-17T10:29:21Z,MIT,main,326,22,6,4,"[""charts"", ""rails""]",11954,True
eloqdata,eloqkv,Organization,2025-02-05T08:51:42Z,2025-08-29T04:04:03Z,NOASSERTION,main,395,30,23,9,[],10244,False
isene,imdb,User,2023-07-01T22:20:35Z,2025-08-19T22:03:56Z,Unlicense,main,71,1,2,2,[],7059,False
google,mangle,Organization,2022-11-24T13:22:28Z,2025-08-12T13:37:52Z,Apache-2.0,main,1761,79,8,27,[],5448,True
walterwanderley,sqlite-http-cache,User,2025-08-05T22:54:26Z,2025-08-16T02:46:48Z,Apache-2.0,main,9,0,0,0,[],2215,True
ngafar,llama-scan,User,2025-06-11T03:16:58Z,2025-08-24T16:57:28Z,MIT,main,624,33,1,1,[],1338,False
0xatrilla,liquidsky,User,2025-08-16T02:56:52Z,2025-08-29T01:12:03Z,AGPL-3.0,main,26,1,0,0,"[""app"", ""apple"", ""bluesky"", ""ios"", ""iphone"", ""iphone-app"", ""swift"", ""swiftui""]",7134,False
algolia,hn-search,Organization,2013-11-21T08:27:17Z,2023-11-04T05:44:05Z,NOASSERTION,master,579,73,31,88,[],4154,False
bgreenwell,doxx,User,2025-08-16T18:48:24Z,2025-08-28T01:41:55Z,MIT,main,2637,55,13,8,"[""cli"", ""docx"", ""msword"", ""render"", ""rust"", ""terminal"", ""tui""]",9293,True
jgoyd,ios-18.5-bluetooth-privacy-vuln,User,2025-08-17T15:53:16Z,2025-08-17T16:49:23Z,,main,18,0,0,1,[],1695,False
superilu,dosdevelresources,User,2025-08-16T15:00:26Z,2025-08-28T18:43:41Z,MIT,main,114,5,0,2,"[""ms-dos"", ""retrocomputing"", ""retrodev""]",11461,False
ahmedhosssam,chatbang,User,2025-05-23T22:12:12Z,2025-08-20T23:51:03Z,MIT,main,154,19,2,0,[],1728,True
wan-video,wan2.2,Organization,2025-07-28T08:17:01Z,2025-08-26T12:45:50Z,Apache-2.0,main,4582,289,80,25,"[""aigc"", ""video-generation""]",26177,False
robert-van-engelen,tinylisp,User,2022-07-14T00:10:15Z,2025-08-25T19:58:30Z,BSD-3-Clause,main,1206,65,1,17,"[""lisp"", ""lisp-interpreter"", ""pc-g850"", ""tiny""]",15436,False
superstarryeyes,lue,User,2025-08-16T14:07:49Z,2025-08-27T11:59:37Z,GPL-3.0,main,384,11,5,1,"[""book"", ""cli"", ""doc"", ""docx"", ""ebook"", ""epub"", ""modular"", ""reader"", ""terminal"", ""text-to-speech"", ""tts"", ""txt"", ""voice"", ""pdf""]",7738,True
context-labs,uwu,Organization,2025-08-11T01:03:12Z,2025-08-23T20:32:47Z,MIT,main,837,36,5,4,[],10349,False
h0x0er,ebpf-snippets,User,2025-08-15T12:50:45Z,2025-08-22T07:17:34Z,MIT,main,14,2,0,0,"[""ebpf"", ""ebpf-programs"", ""snippets-collection"", ""vscode-snippets"", ""bpf""]",882,True
pgautoupgrade,docker-pgautoupgrade,Organization,2023-07-08T09:44:32Z,2025-08-27T07:04:34Z,MIT,main,911,30,13,11,"[""docker"", ""postgres"", ""postgresql"", ""postgresql-database"", ""upgrade""]",8072,False
clement-tourriere,dbcrust,User,2025-07-18T07:36:38Z,2025-08-27T13:58:10Z,MIT,main,68,1,0,0,[],6050,True
ebeem,guile-swayer,User,2024-06-15T06:36:19Z,2025-08-20T02:37:16Z,MIT,master,123,7,2,2,"[""guile"", ""scheme"", ""emacs"", ""ipc"", ""sway"", ""wayland""]",16419,True
hcloud-k8s,terraform-hcloud-kubernetes,Organization,2024-10-23T14:42:55Z,2025-08-28T22:41:17Z,MIT,main,213,17,7,1,"[""hcloud"", ""hetzner"", ""kubernetes"", ""talos"", ""terraform"", ""linux"", ""cloud"", ""k8s"", ""kube""]",45749,True
wyattjoh,jmap-mcp,User,2025-08-15T17:24:44Z,2025-08-15T18:23:29Z,MIT,main,148,12,0,1,[],6919,False
vpdotnet,vpnetd-sgx,Organization,2025-08-15T14:17:30Z,2025-08-15T14:38:34Z,NOASSERTION,master,38,1,0,0,[],8845,False
libgit2,libgit2,Organization,2010-09-10T16:17:48Z,2025-08-11T09:13:31Z,NOASSERTION,main,10101,2507,494,393,"[""libgit2"", ""git"", ""library"", ""dvcs"", ""version-control"", ""hacktoberfest"", ""c""]",22889,True
dani-garcia,vaultwarden,User,2018-02-17T22:40:20Z,2025-08-27T18:53:56Z,AGPL-3.0,main,48481,2279,25,261,"[""vaultwarden"", ""bitwarden"", ""rust"", ""docker"", ""rocket"", ""bitwarden-rs""]",11097,True
pghookcom,pghook,Organization,2025-08-10T07:01:16Z,2025-08-22T00:41:24Z,MIT,main,61,1,0,0,[],10495,True
nvidia,tilus,Organization,2025-08-01T18:56:09Z,2025-08-27T15:21:07Z,Apache-2.0,main,315,7,3,3,"[""cuda"", ""kernel"", ""programming"", ""tile""]",2301,True
